id;dt;x;y;phi;v;dphi
a1;0.1;-0.0964315;64.9937;1.57965;1.5;0.0722458
a1;0.2;-0.313489;79.986;1.59;1.5;0.124376
a1;0.3;-0.728212;94.9741;1.60514;1.5;0.170388
a1;0.4;-1.40886;109.952;1.62471;1.5;0.213286
a1;0.5;-2.4175;124.912;1.64818;1.5;0.248573
a1;0.6;-3.80198;139.842;1.67427;1.5;0.266871
a1;0.7;-5.58163;154.729;1.70068;1.5;0.257838
a1;0.8;-7.73325;169.568;1.72424;1.5;0.215168
a1;0.9;-10.1844;184.36;1.74163;1.5;0.140549
a1;1;-12.8189;199.121;1.75021;1.5;0.0450395
a1;1.1;-15.4955;213.874;1.74896;1.5;-0.052402
a1;1.2;-18.0752;228.644;1.73887;1.5;-0.132156
a1;1.3;-20.4463;243.449;1.72223;1.5;-0.188265
a1;1.4;-22.5282;258.298;1.70085;1.5;-0.231348
a1;1.5;-24.2559;273.191;1.67529;1.5;-0.273457
a1;1.6;-25.5645;288.128;1.64533;1.5;-0.318756
a1;1.7;-26.3853;303.098;1.61084;1.5;-0.363111
a1;1.8;-26.6541;318.089;1.57249;1.5;-0.39585
a1;1.9;-26.3279;333.079;1.53221;1.5;-0.403705
a1;2;-25.4044;348.043;1.49312;1.5;-0.376939
a1;2.1;-23.9341;362.964;1.45881;1.5;-0.314577
a1;2.2;-22.0182;377.835;1.43239;1.5;-0.225595
a1;2.3;-19.7925;392.663;1.41563;1.5;-0.126244
a1;2.4;-17.4026;407.465;1.40847;1.5;-0.0348913
a1;2.5;-14.9776;422.262;1.40917;1.5;0.032972
a1;2.6;-12.6106;437.067;1.41499;1.5;0.0727265
a1;2.7;-10.3558;451.891;1.4236;1.5;0.0941835
a1;2.8;-8.24487;466.736;1.43403;1.5;0.112173
a1;2.9;-6.30696;481.604;1.44667;1.5;0.138411
a1;3;-4.5858;496.498;1.46286;1.5;0.181655
a1;3.1;-3.1526;511.423;1.48476;1.5;0.249584
a1;3.2;-2.11632;526.381;1.51501;1.5;0.34379
a1;3.3;-1.62168;541.366;1.55553;1.5;0.448629
a1;3.4;-1.81882;556.357;1.60524;1.5;0.524556
a1;3.5;-2.80056;571.317;1.65842;1.5;0.523987
a1;3.6;-4.5375;586.209;1.70576;1.5;0.424178
a1;3.7;-6.85763;601.022;1.73817;1.5;0.244879
a1;3.8;-9.4873;615.783;1.7506;1.5;0.0389765
a1;3.9;-12.1324;630.542;1.74408;1.5;-0.130771
a1;4;-14.5615;645.338;1.7247;1.5;-0.228893
a1;4.1;-16.6436;660.186;1.69921;1.5;-0.26742
a1;4.2;-18.3277;675.085;1.67198;1.5;-0.272773
a1;4.3;-19.608;690.023;1.64525;1.5;-0.262177
a1;4.4;-20.5011;704.99;1.62004;1.5;-0.244587
a1;4.5;-21.0332;719.975;1.59675;1.5;-0.224479
a1;4.6;-21.234;734.967;1.5755;1.5;-0.20405
a1;4.7;-21.1339;749.96;1.55627;1.5;-0.184344
a1;4.8;-20.7622;764.95;1.53893;1.5;-0.16583
a1;4.9;-20.1464;779.931;1.52336;1.5;-0.148685
a1;5;-19.3118;794.901;1.50943;1.5;-0.132943
a1;5.1;-18.282;809.86;1.49699;1.5;-0.118571
a1;5.2;-17.0781;824.806;1.48591;1.5;-0.105504
a1;5.3;-15.7197;839.738;1.47606;1.5;-0.0936684
a1;5.4;-14.2241;854.657;1.46733;1.5;-0.0829854
a1;5.5;-12.6072;869.563;1.45961;1.5;-0.0733805
a1;5.6;-10.8831;884.458;1.45278;1.5;-0.0647836
a1;5.7;-9.06442;899.341;1.44676;1.5;-0.0571313
a1;5.8;-7.16247;914.214;1.44145;1.5;-0.0503678
a1;5.9;-5.18711;929.077;1.43677;1.5;-0.0444465
a1;6;-3.14698;943.932;1.43263;1.5;-0.0393338
a1;6.1;-1.04953;958.779;1.42895;1.5;-0.0350149
a1;6.2;1.09903;973.618;1.42566;1.5;-0.0315074
a1;6.3;3.29368;988.45;1.42268;1.5;-0.0288923
a1;6.4;5.53079;1003.28;1.41989;1.5;-0.0273951
a1;6.5;7.80857;1018.1;1.41715;1.5;-0.0276508
